rowNum,folder,filename,tags1,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9
52,./cypress/e2e/Regression/ClientSide/MobileResponsiveTests,AutoScroll_Validation_spec.js,@tag.MobileResponsive,,,,,,,,
53,./cypress/e2e/Regression/ClientSide/MobileResponsiveTests,SuggestedWidgets_spec.js,@tag.MobileResponsive,,,,,,,,
54,./cypress/e2e/Regression/ClientSide/MobileResponsiveTests,AutoFillWidgets_Basic_2_spec.js,@tag.MobileResponsive,,,,,,,,
55,./cypress/e2e/Regression/ClientSide/MobileResponsiveTests,AutoFillWidgets_Basic_spec.js,@tag.MobileResponsive,,,,,,,,
56,./cypress/e2e/Regression/ClientSide/EmbedSettings,EmbedSettings_spec.js,@tag.Settings,,,,,,,,
57,./cypress/e2e/Regression/ClientSide/ExplorerTests,Widgets_Copy_Paste_Delete_Undo_Keyboard_Event_spec.js,@tag.IDE,,,,,,,,
58,./cypress/e2e/Regression/ClientSide/ExplorerTests,Hide_Page_spec.js,@tag.IDE,,,,,,,,
59,./cypress/e2e/Regression/ClientSide/ExplorerTests,API_Pane_spec.js,@tag.IDE,,,,,,,,
60,./cypress/e2e/Regression/ClientSide/ExplorerTests,Long_Name_Tooltip_spec.js,@tag.IDE,,,,,,,,
61,./cypress/e2e/Regression/ClientSide/ExplorerTests,CopyQuery_RenameDatasource_spec.js,@tag.IDE,,,,,,,,
62,./cypress/e2e/Regression/ClientSide/ExplorerTests,Query_Datasource_spec.js,@tag.IDE,,,,,,,,
63,./cypress/e2e/Regression/ClientSide/ExplorerTests,Entity_Naming_conflict_spec.js,@tag.IDE,,,,,,,,
64,./cypress/e2e/Regression/ClientSide/ExplorerTests,Widgets_Copy_Delete_Undo_spec.js,@tag.IDE,,,,,,,,
65,./cypress/e2e/Regression/ClientSide/ExplorerTests,Admin_settings_2_spec.js,@tag.IDE,,,,,,,,
66,./cypress/e2e/Regression/ClientSide/ExplorerTests,Widgets_spec.js,@tag.IDE,,,,,,,,
67,./cypress/e2e/Regression/ClientSide/ExplorerTests,Select_Widget_spec.js,@tag.IDE,,,,,,,,
68,./cypress/e2e/Regression/ClientSide/ExplorerTests,Renaming_spec.js,@tag.IDE,@tag.IDE,@tag.IDE,,,,,,
69,./cypress/e2e/Regression/ClientSide/ExplorerTests,Pages_spec.js,@tag.IDE,,,,,,,,
70,./cypress/e2e/Regression/ClientSide/ExplorerTests,DragAndDropWidget_spec.js,@tag.IDE,,,,,,,,
71,./cypress/e2e/Regression/ClientSide/ExplorerTests,Admin_settings_1_spec.js,@tag.IDE,,,,,,,,
72,./cypress/e2e/Regression/ClientSide/Binding,TableV2_Widget_API_Pagination_spec.js,@tag.Binding,,,,,,,,
